,monster_name,monster_level,action_term,action_name,damage_type,attack_range,action_cost,attack_type,damage_dice_calculations,attack_roll_mod,spell_DC,spell_slot_level,casting time,target,area,duration,saving throw,spell attack,conditions
0,abandoned zealot,6,Attack 1,hand,[],5,1,melee,"[['2', '10', '4']]",16.0,0,0,0,0,0,0,0,0,0
1,adlet,10,Attack 1,spear,"['cold', 'piercing']",5,1,melee,"[['2', '6', '9'], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
2,adlet,10,Attack 2,jaws,"['cold', 'slashing']",5,1,melee,"[['2', '8', '9'], ['1', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
3,adlet,10,Attack 3,spear,"['cold', 'piercing']",20,1,range,"[['2', '6', '9'], ['1', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
5,arbiter,1,Attack 1,shortsword,"['lawful', 'piercing']",5,1,melee,"[['1', '6', '1'], ['1', '4', 0]]",9.0,0,0,0,0,0,0,0,0,0
6,theletos,7,Attack 1,fist,"['bludgeoning', 'lawful']",5,1,melee,"[['2', '10', '4'], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
7,theletos,7,Attack 2,tentacle,"['lawful', 'slashing']",5,1,melee,"[['2', '8', '4'], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
8,axiomite,8,Attack 1,warhammer,"['bludgeoning', 'lawful']",5,1,melee,"[['2', '8', '11'], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
9,axiomite,8,Attack 2,fist,"['bludgeoning', 'lawful']",5,1,melee,"[['1', '8', '5'], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
10,zelekhut,9,Attack 1,chain,"['lawful', 'slashing', 'electricity']",5,1,melee,"[['2', '10', '6'], ['2', '6', 0], ['1', '6', 0]]",21.0,0,0,0,0,0,0,0,0,0
11,kolyarut,12,Attack 1,bastard,"['lawful', 'slashing']",5,1,melee,"[['2', '8', '13'], ['1', '6', 0]]",26.0,0,0,0,0,0,0,0,0,0
12,kolyarut,12,Attack 2,fist,"['bludgeoning', 'lawful']",5,1,melee,"[['1', '10', '11'], ['1', '6', 0]]",23.0,0,0,0,0,0,0,0,0,0
13,marut,15,Attack 1,fist,"['bludgeoning', 'lawful']",5,1,melee,"[['3', '8', '11'], ['1', '6', 0]]",30.0,0,0,0,0,0,0,0,0,0
14,bythos,16,Attack 1,fist,"['bludgeoning', 'lawful', 'cold']",5,1,melee,"[['2', '8', '16'], ['2', '8', 0], ['2', '8', 0]]",32.0,0,0,0,0,0,0,0,0,0
15,weighs-the-epochs,20,Attack 1,energy,['lawful'],5,1,melee,"[['5', '8', '18'], ['1', '6', 0]]",36.0,0,0,0,0,0,0,0,0,0
17,pleroma,20,Attack 1,energy,['lawful'],5,1,melee,"[['5', '8', '18'], ['1', '6', 0]]",36.0,0,0,0,0,0,0,0,0,0
19,silvanshee (cat agathion),1,Attack 1,jaws,"['good', 'piercing']",5,1,melee,"[['1', '4', 0]]",9.0,0,0,0,0,0,0,0,0,0
20,silvanshee (cat agathion),1,Attack 2,claw,"['good', 'slashing']",5,1,melee,"[['1', '4', 0]]",9.0,0,0,0,0,0,0,0,0,0
21,vulpinal (fox agathion),6,Attack 1,jaws,"['good', 'piercing']",5,1,melee,"[['2', '10', '4'], ['1', '6', 0]]",15.0,0,0,0,0,0,0,0,0,0
22,vulpinal (fox agathion),6,Attack 2,claw,"['good', 'slashing']",5,1,melee,"[['2', '6', '4'], ['1', '6', 0]]",15.0,0,0,0,0,0,0,0,0,0
23,procyal (raccoon agathion),8,Attack 1,claw,['good'],5,1,melee,"[['2', '8', '10'], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
24,procyal (raccoon agathion),8,Attack 2,shortsword,['good'],5,1,melee,"[['2', '6', '10'], ['1', '6', 0]]",19.0,0,0,0,0,0,0,0,0,0
25,draconal (dragon agathion),20,Attack 1,jaws,"['fire', 'good', 'piercing']",5,1,melee,"[['3', '12', '18'], ['1', '6', 0], ['4', '6', 0]]",38.0,0,0,0,0,0,0,0,0,0
26,draconal (dragon agathion),20,Attack 2,claw,"['fire', 'good', 'slashing']",5,1,melee,"[['3', '8', '18'], ['1', '6', 0], ['4', '6', 0]]",38.0,0,0,0,0,0,0,0,0,0
27,young ahuizotl,4,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '8', '4']]",14.0,0,0,0,0,0,0,0,0,0
28,young ahuizotl,4,Attack 2,claw,['slashing'],5,1,melee,"[['2', '6', '4']]",17.0,0,0,0,0,0,0,0,0,0
29,young ahuizotl,4,Attack 3,tail,['slashing'],5,1,melee,"[['2', '4', '4']]",17.0,0,0,0,0,0,0,0,0,0
30,ahuizotl,6,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '8', '8']]",17.0,0,0,0,0,0,0,0,0,0
31,ahuizotl,6,Attack 2,claw,['slashing'],5,1,melee,"[['2', '6', '8']]",17.0,0,0,0,0,0,0,0,0,0
32,ahuizotl,6,Attack 3,tail,['slashing'],5,1,melee,"[['2', '4', '8']]",17.0,0,0,0,0,0,0,0,0,0
33,aiudara wraith,18,Attack 1,spectral,['force'],5,1,melee,"[['4', '10', '16']]",35.0,0,0,0,0,0,0,0,0,0
34,akata,1,Attack 1,jaws,"['void', 'piercing']",5,1,melee,"[['1', '6', '4']]",9.0,0,0,0,0,0,0,0,0,0
35,skum (ulat-kini),2,Attack 1,trident,['piercing'],5,1,melee,"[['1', '8', '4']]",10.0,0,0,0,0,0,0,0,0,0
36,skum (ulat-kini),2,Attack 2,claw,['slashing'],5,1,melee,"[['1', '6', '4']]",10.0,0,0,0,0,0,0,0,0,0
37,skum (ulat-kini),2,Attack 3,fangs,['piercing'],5,1,melee,"[['2', '4', '4']]",10.0,0,0,0,0,0,0,0,0,0
38,skum (ulat-kini),2,Attack 4,trident,['piercing'],20,1,range,"[['1', '8', '3']]",7.0,0,0,0,0,0,0,0,0,0
40,faceless stalker (ugothol),4,Attack 1,longsword,['slashing'],5,1,melee,"[['1', '8', '6']]",14.0,0,0,0,0,0,0,0,0,0
41,faceless stalker (ugothol),4,Attack 2,claw,['slashing'],5,1,melee,"[['2', '6', '6']]",12.0,0,0,0,0,0,0,0,0,0
43,alghollthu master (aboleth),7,Attack 1,tentacle,['bludgeoning'],5,1,melee,"[['2', '8', '10']]",16.0,0,0,0,0,0,0,0,0,0
44,veiled master (vidileth),14,Attack 1,claw,['slashing'],5,1,melee,"[['3', '10', '12']]",30.0,0,0,0,0,0,0,0,0,0
45,veiled master (vidileth),14,Attack 2,fangs,['piercing'],5,1,melee,"[['3', '8', '12']]",28.0,0,0,0,0,0,0,0,0,0
46,veiled master (vidileth),14,Attack 3,tentacle,['electricity'],5,1,melee,"[['7', '6', 0]]",28.0,0,0,0,0,0,0,0,0,0
47,aluum enforcer,10,Attack 1,fist,"['bludgeoning', 'force']",5,1,melee,"[['2', '10', '13']]",23.0,0,0,0,0,0,0,0,0,0
48,spiritbound aluum,16,Attack 1,fist,"['bludgeoning', 'force']",5,1,melee,"[['3', '10', '17']]",33.0,0,0,0,0,0,0,0,0,0
49,amalgamite,13,Attack 1,limb,['bludgeoning'],5,1,melee,"[['3', '10', '11']]",24.0,0,0,0,0,0,0,0,0,0
50,amalgamite,13,Attack 2,warping,['force'],100,1,range,"[['3', '8', '8']]",27.0,0,0,0,0,0,0,0,0,0
51,nefrethut,18,Attack 1,claw,['slashing'],5,1,melee,"[['3', '8', '16']]",32.0,0,0,0,0,0,0,0,0,0
52,nefrethut,18,Attack 2,foot,[],5,1,melee,"[['4', '8', '12']]",30.0,0,0,0,0,0,0,0,0,0
53,nefrethut,18,Attack 3,jaws,['piercing'],5,1,melee,"[['3', '12', '16']]",32.0,0,0,0,0,0,0,0,0,0
54,ammut,18,Attack 1,claw,['slashing'],5,1,melee,"[['3', '8', '16']]",32.0,0,0,0,0,0,0,0,0,0
55,ammut,18,Attack 2,foot,[],5,1,melee,"[['4', '8', '12']]",30.0,0,0,0,0,0,0,0,0,0
56,ammut,18,Attack 3,jaws,['piercing'],5,1,melee,"[['3', '12', '16']]",32.0,0,0,0,0,0,0,0,0,0
57,amphisbaena,4,Attack 1,fangs,['piercing'],5,1,melee,"[['2', '6', '5']]",13.0,0,0,0,0,0,0,0,0,0
58,amphisbaena,4,Attack 2,spit,[],15,1,range,"[['1', '6', 0]]",12.0,0,0,0,0,0,0,0,0,0
59,anadi hunter,2,Attack 1,shortsword,['piercing'],5,1,melee,"[['1', '6', '2']]",10.0,0,0,0,0,0,0,0,0,0
60,anadi hunter,2,Attack 2,fangs,['piercing'],5,1,melee,"[['1', '8', '2']]",10.0,0,0,0,0,0,0,0,0,0
61,anadi hunter,2,Attack 3,composite,['piercing'],60,2,range,"[['1', '6', '1']]",10.0,0,0,0,0,0,0,0,0,0
62,anadi sage,4,Attack 1,shortsword,['piercing'],5,1,melee,"[['1', '6', '3']]",12.0,0,0,0,0,0,0,0,0,0
63,anadi sage,4,Attack 2,fangs,['piercing'],5,1,melee,"[['2', '6', '3']]",12.0,0,0,0,0,0,0,0,0,0
64,anadi elder,6,Attack 1,shortsword,['piercing'],5,1,melee,"[['1', '6', '5']]",16.0,0,0,0,0,0,0,0,0,0
65,anadi elder,6,Attack 2,fangs,['piercing'],5,1,melee,"[['2', '6', '5']]",16.0,0,0,0,0,0,0,0,0,0
66,anadi elder,6,Attack 3,composite,['piercing'],100,2,range,"[['1', '8', '1']]",16.0,0,0,0,0,0,0,0,0,0
67,android infiltrator,2,Attack 1,shortsword,['piercing'],5,1,melee,"[['1', '6', '2']]",10.0,0,0,0,0,0,0,0,0,0
68,android infiltrator,2,Attack 2,fist,['bludgeoning'],5,1,melee,"[['1', '4', '2']]",10.0,0,0,0,0,0,0,0,0,0
69,android infiltrator,2,Attack 3,hand,['piercing'],60,2,range,"[['1', '6', 0]]",10.0,0,0,0,0,0,0,0,0,0
71,angazhani,8,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '8', '9']]",20.0,0,0,0,0,0,0,0,0,0
72,angazhani,8,Attack 2,jaws,['piercing'],5,1,melee,"[['2', '12', '9']]",20.0,0,0,0,0,0,0,0,0,0
73,cassisian (archive angel),1,Attack 1,headbutt,"['bludgeoning', 'good']",5,1,melee,"[['1', '4', 0]]",6.0,0,0,0,0,0,0,0,0,0
