name,Rarity,Alignment,Creature Level,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Perception,HP,AC,Fort,Ref,Will,Fort DC,Ref DC,Will DC,speed_Land,speed_Fly,speed_Swim,spped_Burrow,speed_Climb,speed_Other,speed_Highest Overland,one_Immunity,one_Resistance,one_Weakness,many_Immunity,many_Resistance,many_Weakness,Attack 1,attack1_mod,Attack 2,attack2_mod,Attack 3,attack3_mod,Attack 4,attack4_mod,Attack 5,attack5_mod,Attack 6,attack6_mod,Attack 7,attack7_mod,Max HB,Spells 1,spell1_mod,Spells 2,spell2_mod,Spells 3,spell3_mod,Max DC,SPAtk 1,SPAtk 2,SPAtk 3,Max SPAtk,dmg_acid,dmg_cold,dmg_electricity,dmg_fire,dmg_sonic,dmg_Negative,dmg_Positive,dmg_Mental,dmg_Poison,dmg_Force,dmg_Bludgeoning,dmg_Piercing,dmg_Slashing,dmg_Persistent,dmg_Bleed,dmg_Lawful,dmg_Chaotic,dmg_Good,dmg_Evil,dmg_Magical,Reaction 1,Reaction 2,Reaction 3,Attack Op
ABANDONED ZEALOT,Common,Chaotic Evil,6,Incorporeal,Spirit,Undead,,,,,14,75,22,10,14,16,-2,,,,40,,,,,40,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"Melee hand of despair +16 (finesse, magical), Damage 2d10+4 negative plus rend faith",16,0,,0,,0,,0,,0,,0,,16,Divine Innate Spells DC 24; 6th zealous conviction (self only); 4th crisis of faith,24,0,,0,,24,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Elegy of the Faithless (abjuration, magical tradition: divine The power of the divine is steeped in faith, the unseen, and belief in a power source from beyond the Material Plane. Clerics are the most iconic divine spellcasters, beseeching the gods to grant them their magic. Divine sorcerers can use the blood of their celestial or fiendish ancestors as a divine conduit, and champions call upon their gods to grant them martial prowess through divine guidance.&gt;divine, mental) Trigger A magical tradition: divine The power of the divine is steeped in faith, the unseen, and belief in a power source from beyond the Material Plane. Clerics are the most iconic divine spellcasters, beseeching the gods to grant them their magic. Divine sorcerers can use the blood of their celestial or fiendish ancestors as a divine conduit, and champions call upon their gods to grant them martial prowess through divine guidance.&gt;divine spell is cast within 30 feet of the abandoned zealot; Effect The abandoned zealot howls an elegy of regret, forcing the spellcaster to attempt a DC 22 Will save, or DC 24 if the caster is a member of the zealotes former faith. On a failure, the elegy disrupts the spell.",,,FALSE
ADLET,Common,Chaotic Neutral,10,Cold,Humanoid,,,,,,18,180,30,20,22,16,,,,40,,,,,,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee spear +20 (magical), Damage 2d6+9 piercing plus 1d6 cold",20,"Melee jaws +19, Damage 2d8+9 slashing plus 1d6 cold",19,"Ranged spear +21 (magical, thrown 20 feet), Damage 2d6+9 piercing plus 1d6 cold",21,"You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,0,,0,,0,,21,0,,0,,0,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Avenging Bite Trigger A creature within reach of an adletes jaws Strike attacks one of the adletes allies; Effect The adlet makes a jaws Strike against the triggering creature.,,,FALSE
ARBITER,Common,Neutral,1,Aeon,Inevitable,Monitor,,,,,7,22,16,5,7,7,-1,,,20,40,,,,,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Melee shortsword +9 (agile, finesse, lawful, magical, versatile S), Damage 1d6+1 piercing plus 1d4 lawful",9,0,,0,,0,,0,,0,,0,,9,"Divine Innate Spells DC 17; 4th read omens; 1st command, detect alignment (at will, chaotic only), mending (c3973)",17,0,,0,,17,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
THELETOS,Common,Neutral,7,Aeon,Monitor,,,,,,18,125,25,16,13,18,,-2,,25,25,,,,,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee fist +17 (lawful, magical), Damage 2d10+4 bludgeoning plus 1d6 lawful",17,"Melee tentacle +17 (agile, lawful, magical), Damage 2d8+4 slashing plus 1d6 lawful and fate drain",17,0,,0,,0,,0,,0,,17,"Divine Innate Spells DC 25, attack +17; 4th augury (at will), charm, dispel magic, enthrall, outcastes curse, remove curse, suggestion, touch of idiocy",25,0,,0,,25,17,,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
AXIOMITE,Common,Neutral,8,Aeon,Monitor,,,,,,19,155,26,13,16,18,-3,,,25,,,,,,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Melee warhammer +20 (lawful, magical, shove), Damage 2d8+11 bludgeoning plus 1d6 lawful",20,"Melee fist +17 (agile, lawful, magical), Damage 1d8+5 bludgeoning plus 1d6 lawful",17,0,,0,,0,,0,,0,,20,"Divine Innate Spells DC 27, attack +17; 5th telekinetic haul; 4th dispel magic, divine wrath (lawful), lightning bolt (c3973); 3rd haste (c3973), paralyze; 2nd telekinetic maneuver; 1st true strike (at will); Cantrips (4th) telekinetic projectile",27,0,,0,,27,17,,,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
ZELEKHUT,Common,Neutral,9,Aeon,Inevitable,Monitor,,,,,21,160,28,17,20,18,-1,,,40,40,,,,,40,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Melee chain +21 (lawful, magical, reach 10 feet), Damage 2d10+6 slashing plus 2d6 electricity and 1d6 lawful plus Knockdown",21,0,,0,,0,,0,,0,,0,,21,"Divine Innate Spells DC 28; 5th locate; 4th clairaudience, clairvoyance, dimensional anchor, dispel magic, paralyze (c3973); Constant (6th) true seeing",28,0,,0,,28,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,,TRUE
KOLYARUT,Common,Neutral,12,Aeon,Inevitable,Monitor,,,,,23,215,34,23,24,22,-1,,,25,,,,,,25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Melee bastard sword +26 (lawful, magical, two-hand d12), Damage 2d8+13 slashing plus 1d6 lawful",26,"Melee fist +23 (agile, lawful, magical), Damage 1d10+11 bludgeoning plus 1d6 lawful",23,0,,0,,0,,0,,0,,26,"Divine Innate Spells DC 32; 8th discern location; 5th command; 4th illusory disguise (at will), suggestion (c3972); 3rd paralyze (c3972); 2nd invisibility (self only); 1st command (at will)",32,0,,0,,32,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
MARUT,Common,Neutral,15,Aeon,Inevitable,Monitor,,,,,26,230,37,27,25,26,,-2,,25,,,,,air walk,25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Melee fist +30 (lawful, magical, reach 10 feet), Damage 3d8+11 bludgeoning plus 1d6 lawful and fists of thunder and lightning",30,0,,0,,0,,0,,0,,0,,30,"Divine Innate Spells DC 37; 8th chain lightning, dispel magic, earthquake, harm; 7th fear, plane shift, wall of force; 5th command, locate; 4th dimension door (at will); Constant (8th) air walk, true seeing",37,0,,0,,37,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,,TRUE
BYTHOS,Uncommon,Neutral,16,Aeon,Monitor,,,,,,30,245,39,25,26,30,-1,,,,35,,,,,35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee fist +32 (lawful, magical, reach 10 feet), Damage 2d8+16 bludgeoning plus 2d8 cold and 2d8 lawful",32,0,,0,,0,,0,,0,,0,,32,"Divine Innate Spells DC 37; 8th augury (at will), teleport; 7th dimensional anchor, dimensional lock, haste, plane shift; 6th slow; 4th dimensional anchor (at will)",37,0,,0,,37,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Temporal Reversion (fortune) Trigger The bythos fails or critically fails a check; Frequency once per day; Effect The bythos rerolls the triggering check and takes the better result.,,,FALSE
WEIGHS-THE-EPOCHS,Common,Neutral,20,Aeon,Monitor,,,,,,37,335,45,32,31,37,,-1,,,40 ; freedom of movement,,,,,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Melee energy touch (agile, lawful, magical) +36, Damage 5d8+18 positive or negative damage plus 1d6 lawful",36,"Ranged Sphere of Oblivion +37 (magical), Effect see Sphere of Oblivion",37,0,,0,,0,,0,,0,,37,"Divine Innate Spells DC 47, attack +37; 10th alter reality; 9th banishment, blade barrier, disjunction, overwhelming presence; 8th disintegrate (c3972), unrelenting observation; 7th plane shift, retrocognition; 5th creation (at will); 4th create food (at will), shape stone (at will); 3rd hypercognition (at will); 2nd detect alignment (at will), shape wood (at will); 1st create water (at will); Constant (8th) true seeing; (4th) freedom of movement",47,0,,0,,47,37,,,37,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Reality Twist Trigger The pleroma critically fails the saving throw. Effect The critical failure becomes a normal failure.,,,FALSE
